FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION_CONDUCTA,ZONA,CANTIDAD
14/01/2003,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
29/01/2003,25,CUNDINAMARCA,25402,LA VEGA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
14/07/2003,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
31/07/2003,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 336. CAZA ILEGAL,URBANA,1
14/09/2003,25,CUNDINAMARCA,25320,GUADUAS,ARTICULO 336. CAZA ILEGAL,URBANA,1
27/09/2003,25,CUNDINAMARCA,25326,GUATAVITA,ARTICULO 335. ILICITA ACTIVIDAD DE PESCA,RURAL,1
11/10/2003,25,CUNDINAMARCA,25322,GUASCA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
06/01/2004,25,CUNDINAMARCA,25269,FACATATIVA,"ARTICULO 334. EXPERIMENTACION ILEGAL CON ESPECIES, AGENTES BIOLOGICOS O BIOQUIMICOS",URBANA,1
23/01/2004,25,CUNDINAMARCA,25491,NOCAIMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
29/01/2004,25,CUNDINAMARCA,25377,LA CALERA,ARTICULO 336. CAZA ILEGAL,URBANA,1
29/01/2004,25,CUNDINAMARCA,25491,NOCAIMA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
06/02/2004,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
25/02/2004,25,CUNDINAMARCA,25322,GUASCA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
29/02/2004,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
04/03/2004,25,CUNDINAMARCA,25258,EL PEÑON,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
