REGIÓN,METROPOLITANA,DISTRITO,ESTACIÓN,BARRIO,ZONA,NRO INTEGRANTES,ESTADO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,,ESTACION DE POLICIA BOSA,LAS MARGARITAS E-7,URBANA,14,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,,ESTACION DE POLICIA BOSA,POTRERITOS,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,CAPELLANIA E-9,URBANA,18,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,VILLEMAR E-9,URBANA,9,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,SALITRE,URBANA,10,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,ATAHUALPA,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,SAN JOSE DE FONTIBON,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,LA ESTANCIA E-9,URBANA,6,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,SAN PEDRO DE LOS ROBLES,URBANA,16,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,VERACRUZ E-9,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,VILLEMAR E-9,URBANA,7,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,EL TAPETE E-9,URBANA,23,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,SAN JOSE,URBANA,5,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,BOHIOS DE HUNZA E-9,URBANA,16,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,EL CARMEN E-9,URBANA,10,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,CENTRO,URBANA,16,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,CENTRO,URBANA,24,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,EL CARMEN E-9,URBANA,14,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,VILLEMAR E-9,URBANA,20,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,SALAMANCA E-9,URBANA,13,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,LA GIRALDA,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,BAHIA SOLANO,URBANA,12,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,LAS FLORES,URBANA,23,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,FERROCAJA E-9,URBANA,13,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,SAN JOSE DE FONTIBON,URBANA,28,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,LA ESTANCIA E-9,URBANA,12,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,VILLEMAR E-9,URBANA,10,ACTIVO
