Temática;Año;Mes;Departamento;Código Dane;Municipio;Armas / Medios;Agrupa Edad Persona;Genero;Zona;Clase de Sitio;Día;Cantidad
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25035000;ANAPOIMA;ARMA DE FUEGO;ADULTOS;FEMENINO;RURAL;FINCAS Y SIMILARES;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25040000;ANOLAIMA;ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;HOSPITALES;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25053000;ARBELÁEZ;ARMA DE FUEGO;ADULTOS;MASCULINO;RURAL;VIAS PUBLICAS;mié.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;FEMENINO;RURAL;VIAS PUBLICAS;dom.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;FEMENINO;URBANA;VIAS PUBLICAS;jue.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;mié.;8
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;dom.;7
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;mar.;3
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;lun.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;jue.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;CASAS DE HABITACION;lun.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA BLANCA / CORTOPUNZANTE;JOVENES;MASCULINO;URBANA;VIAS PUBLICAS;sáb.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;FEMENINO;URBANA;LOCAL COMERCIAL;jue.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;FEMENINO;URBANA;POTREROS;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;FEMENINO;URBANA;VIAS PUBLICAS;mié.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;mié.;10
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;jue.;9
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;lun.;6
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;vie.;5
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;sáb.;5
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;BODEGAS Y SIMILARES;sáb.;4
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;FRENTE IGLESIA - VIA PUBLICA;dom.;3
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;BARES, CANTINAS Y SIMILARES;jue.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;LOCAL COMERCIAL;mar.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;RESTAURANTES;mié.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;RESTAURANTES;vie.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;dom.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;CASAS DE HABITACION;sáb.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;DISCOTECAS;sáb.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;INTERIOR VEHICULO PARTICULAR;lun.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;INTERIOR VEHICULO SERVICIO PUBLICO;sáb.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;PARQUES;dom.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;POTREROS;mié.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;SUPERMERCADOS;sáb.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;TIENDA;jue.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;JOVENES;MASCULINO;URBANA;VIAS PUBLICAS;mié.;3
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);ARMA DE FUEGO;JOVENES;MASCULINO;URBANA;VIAS PUBLICAS;jue.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);CONTUNDENTES;ADULTOS;MASCULINO;URBANA;CAÑOS;jue.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);CONTUNDENTES;ADULTOS;MASCULINO;URBANA;CASAS DE HABITACION;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);CONTUNDENTES;ADULTOS;MASCULINO;URBANA;CASAS DE HABITACION;mié.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);CONTUNDENTES;ADULTOS;MASCULINO;URBANA;CASAS DE HABITACION;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);CONTUNDENTES;ADULTOS;MASCULINO;URBANA;LOCAL COMERCIAL;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);CONTUNDENTES;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;11001000;BOGOTÁ D.C. (CT);CONTUNDENTES;JOVENES;MASCULINO;URBANA;VIAS PUBLICAS;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25126000;CAJICÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;RURAL;FINCAS Y SIMILARES;jue.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25148000;CAPARRAPÍ;ARMA DE FUEGO;ADULTOS;MASCULINO;RURAL;VIAS PUBLICAS;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25181000;CHOACHÍ;NO REPORTADO;MENORES;MASCULINO;RURAL;FINCAS Y SIMILARES;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25183000;CHOCONTÁ;NO REPORTADO;ADULTOS;MASCULINO;RURAL;FINCAS Y SIMILARES;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25258000;EL PEÑÓN;ARMA DE FUEGO;ADULTOS;MASCULINO;RURAL;FINCAS Y SIMILARES;jue.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25269000;FACATATIVÁ;ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;mié.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25269000;FACATATIVÁ;ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25269000;FACATATIVÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;mar.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25269000;FACATATIVÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;RURAL;FINCAS Y SIMILARES;mar.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25286000;FUNZA;ARMA BLANCA / CORTOPUNZANTE;ADULTOS;MASCULINO;RURAL;FINCAS Y SIMILARES;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25290000;FUSAGASUGÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;VIAS PUBLICAS;mié.;2
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25290000;FUSAGASUGÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;RURAL;FINCAS Y SIMILARES;vie.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25290000;FUSAGASUGÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;RURAL;FINCAS Y SIMILARES;sáb.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25290000;FUSAGASUGÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;HOSPITALES;lun.;1
HOMICIDIOS;2003;Enero;CUNDINAMARCA;25290000;FUSAGASUGÁ;ARMA DE FUEGO;ADULTOS;MASCULINO;URBANA;HOSPITALES;mié.;1
