FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION CONDUCTA,CANTIDAD
02/10/2003 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 261. USURPACION DE TIERRAS,2
06/03/2003 12:00:00 AM,25,CUNDINAMARCA,25599,APULO,ARTICULO 261. USURPACION DE TIERRAS,2
07/13/2003 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 261. USURPACION DE TIERRAS,2
08/19/2003 12:00:00 AM,25,CUNDINAMARCA,25885,YACOPI,ARTICULO 261. USURPACION DE TIERRAS,2
04/28/2005 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
07/22/2005 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/23/2006 12:00:00 AM,25,CUNDINAMARCA,25183,CHOCONTA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
02/23/2006 12:00:00 AM,25,CUNDINAMARCA,25718,SASAIMA,ARTICULO 261. USURPACION DE TIERRAS,1
03/01/2006 12:00:00 AM,25,CUNDINAMARCA,25488,NILO,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/04/2006 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
03/22/2006 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
05/11/2006 12:00:00 AM,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 261. USURPACION DE TIERRAS,1
05/23/2006 12:00:00 AM,25,CUNDINAMARCA,25797,TENA,ARTICULO 261. USURPACION DE TIERRAS,1
09/15/2006 12:00:00 AM,25,CUNDINAMARCA,25438,MEDINA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/22/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/02/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/07/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/10/2006 12:00:00 AM,25,CUNDINAMARCA,25592,QUEBRADANEGRA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
10/11/2006 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
11/13/2006 12:00:00 AM,25,CUNDINAMARCA,25181,CHOACHI,ARTICULO 261. USURPACION DE TIERRAS,1
01/29/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
03/14/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/06/2007 12:00:00 AM,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 261. USURPACION DE TIERRAS,1
05/15/2007 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/09/2007 12:00:00 AM,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
08/22/2007 12:00:00 AM,25,CUNDINAMARCA,25377,LA CALERA,ARTICULO 261. USURPACION DE TIERRAS,1
09/12/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
09/17/2007 12:00:00 AM,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
12/12/2007 12:00:00 AM,25,CUNDINAMARCA,25183,CHOCONTA,ARTICULO 261. USURPACION DE TIERRAS,1
01/20/2008 12:00:00 AM,25,CUNDINAMARCA,25286,FUNZA,ARTICULO 261. USURPACION DE TIERRAS,1
03/30/2008 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
04/23/2008 12:00:00 AM,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
01/06/2009 12:00:00 AM,25,CUNDINAMARCA,25754,SOACHA,ARTICULO 263. INVASION DE TIERRA O EDIFICACIONES,1
